586;17;2;90;4,5;1;03.10.2012;13:00;Spitz bei Schloß Ort;Wobbler;12;15;0;sonnig;False;
587;17;2;52;1;4;18.08.2012;13:00;Nordöstlich Insel Taiwan;Gummifisch 10cm grün/weiß;3;13;0;sonnig;False;
588;12;2;100;6,5;1;28.09.2012;08:30;Esplande;Twister schiach;10;10;0;sonnig;False;
589;12;2;80;3,5;1;17.03.2013;13:00;Altmünster;Schiacha Gummi;3;7;0;bewölkt;False;
590;13;3;45;0,9;4;18.08.2012;18:00;Nördlich von Insel;Gummifisch 8cm braun;6;15;0;bewölkt;False;
591;15;4;27;0,25;4;18.08.2012;06:30;Nördlich von Insel (Nebel);Twister grün 10cm;3;15;0;bewölkt;False;
592;12;2;72;3,2;4;08.10.2011;12:10;Ufer;Gummifisch 15cm gelb;1;10;0;sonnig;False;
593;12;2;50;1;4;18.08.2012;06:45;Nördlich von Insel;Grüner Twister 10;3;10;0;bewölkt;False;
594;12;2;50;1;4;18.08.2012;13:00;Östlich von Insel;Grüner Twister Einihänga losn;0;15;0;sonnig;False;
595;12;2;50;1;4;18.08.2012;13:30;Ost-Südlich von Insel;Grüner Twister 10 cm;2;15;0;sonnig;False;
596;12;2;40;0,8;4;15.10.2011;15:30;Ufer;Schiacha klana gummi 10 cm;2;10;0;sonnig;False;
597;12;2;40;0,8;4;15.10.2011;15:40;Ufer;Schiacha klana gummi 10cm;2;10;0;sonnig;False;
598;15;2;75;3,3;4;12.06.2009;13:00;Bei Insel;Blinker 10cm;2,5;20;0;sonnig;False;
599;14;2;60;2,5;1;21.06.2012;07:30;Esplanade;Weißer kleiner Gummifisch;10;13;0;sonnig;False;
600;14;3;40;0,8;4;17.08.2012;10:00;Nördlich von Insel;Gummifisch weiß 10cm;3;10;0;bewölkt;False;
601;14;2;30;0,5;4;18.08.2012;08:00;Nord-Westlich von Insel;Weißer Gummifisch;3;15;0;bewölkt;False;
602;14;2;30;0,5;4;18.08.2012;08:30;Nord-Westlich von Insel;Weißer Gummifisch;3;15;0;bewölkt;False;
603;15;14;57;2,5;4;07.06.2009;14:00;In Karpfen Teich :);Schinken Wurst;1,5;22;0;sonnig;False;
604;17;2;86;3,8;1;18.05.2013;08:00;Strandbad;Wobbler Jackson Jagger (Laube);3,5;15;0;bewölkt;False;
605;17;2;93;5;1;18.05.2013;08:30;Starndbad;Woobler Jackson Jagger (Laube);3,5;15;0;bewölkt;False;
606;12;7;40;0,5;1;19.05.2013;12:30;Altmünster Bucht (grünes Haus);Woobler 10cm;3,5;15;0;bewölkt;False;
607;15;2;64;2;1;29.06.2013;07:15;Hechtautobahn(Strandbad);Wobbler(Forelle);7;17;0;bewölkt;False;
608;13;2;42;0,4;1;31.07.2013;08:30;Altmünster;Sandra rot/weiß;6;23;0;sonnig;False;
609;13;2;45;0,5;1;31.07.2013;08:30;Altmünster;Sandra rot/weiß;5;23;0;sonnig;False;
610;13;2;45;0,5;1;29.07.2013;13:00;Altmünster;Sandra rot/weiß;5;23;0;sonnig;False;
611;13;2;53;0,75;1;31.07.2013;08:50;Altmünster;Sandra rot/weiß;5;23;0;sonnig;False;
612;13;2;59;1,1;1;31.07.2013;13:30;Altmünster-Bucht;Sandra rot/weiß;5;23;0;sonnig;False;
613;15;2;45;0,5;1;31.07.2013;09:00;Altmünster;Sandra rot/weiß;2;23;0;sonnig;False;
614;15;2;53;0,8;1;31.07.2013;09:30;Altmünster;Sandra rot/weiß;4;23;0;sonnig;False;
615;15;2;58;1,1;1;31.07.2013;10:30;Altmünster;Sandra rot/weiß;6;23;0;sonnig;False;
616;12;2;48;0,55;1;29.07.2013;08:52;Altmünster;Rot/weiß 8cm Gummi;0,5;20;0;sonnig;False;
617;12;2;51;0,7;1;29.07.2013;11:30;Esplande;Weißer 10cm Gummi;5;25;0;sonnig;False;
618;17;4;23;0,1;1;31.07.2013;13:30;Altmünster;Sandra rot/weiß;3;23;0;sonnig;False;
619;12;2;54;1,1;1;01.08.2013;17:15;Altmünster;Weißer 10cm Gummi;6;27;0;sonnig;False;
620;13;2;58;1,2;1;05.08.2013;12:30;Altmünster;Sandra rot/weiß;5;33;0;sonnig;False;
621;13;2;43;0,5;1;05.08.2013;08:30;Altmünster;Sandra rot/weiß;5;33;0;sonnig;False;
622;12;2;37;0,35;1;05.08.2013;08:25;Altmünster;Sandra rot/weiß;5;33;0;sonnig;False;
623;13;3;55;1,5;4;11.08.2013;09:30;Frymburk-Bucht;Sandra Rot/Weiß;7;22;0;sonnig;False;
624;17;35;114;21;4;10.08.2013;08:30;Frymburk West-Seite;Gummiwurm mit Schwanz (grün);10;22;0;sonnig;False;
625;17;2;53;1;1;13.08.2013;10:00;Altmünster Bucht;Blinker Blau/Bronze 10cm;5;23;0;sonnig;False;
626;13;2;45;0,5;1;16.08.2013;12:15;Esplanade;Sandra Rot/Weiß 10cm;5;23;0;sonnig;False;
627;13;2;48;1;1;19.08.2013;09:23;Frauscher-Kraut;Sandra rot/weiß;3,5;22;0;sonnig;False;
628;13;2;44;0,4;1;19.08.2013;09:32;Frauscher-Kraut;Sandra rot/weiß;4;23;0;sonnig;False;
629;13;2;60;1,65;1;19.08.2013;10:35;Esplanade-Kraut;Sandra rot/weiß;3;23;0;sonnig;False;
630;13;2;48;0,75;1;19.08.2013;12:37;Frauscher-Kraut;Sandra rot/weiß;3,5;23;0;sonnig;False;
631;17;2;66;1,75;1;21.08.2013;12:30;Süd-Ost-Seite;Gumifisch schmal 7cm schwarz/blau/silber;8;20;0;sonnig;False;
632;17;2;80;3,5;1;21.08.2013;14:00;Südlich Freiwasser;Wobber 8cm "Goldbarsch";4;20;0;sonnig;False;
633;17;2;59;1,5;1;31.08.2013;07:00;Frauscher Kraut;Wobbler rot/weiß;0,3;15;0;bewölkt;False;
634;17;2;40;0,4;1;28.09.2013;10:15;Altmünster Bucht;Blinker Bronze/Blau;2,5;10;0;bewölkt;False;
635;12;2;56;1;1;19.10.2013;09:00;Esplanade 60m von Ufer(Baumgartner);Grüner Twister 20cm (Sandra);3;13;0;neblig;False;
636;12;2;56;1;1;19.10.2013;09:00;Esplanade 60m von Ufer(Baumgartner);Grüner Twister 20cm (Sandra);3;13;0;neblig;False;
637;17;2;96;6,8;1;17.04.2014;09:00;Braeuwiese;Jackson THE SHAD 17.5 Barsch;20;15;0;bewölkt;False;
638;13;2;100;8;1;01.07.2014;11:00;Hecht Autobahn Altmuenster Bucht;Sandra gross;10;18;0;sonnig;False;
639;17;2;52;1,2;1;06.08.2014;14:00;Autobahn Schloss Orth;Wobbler Jackson Jagger Laube;4;20;0;sonnig;False;
640;15;2;45;0,7;1;27.07.2014;09:15;Ufer Revier 2;Sandra;2;21;0;sonnig;False;
641;13;3;74;3,9;1;27.07.2014;08:15;Ruine Revier 2;Sandra rot weis;6;20;0;sonnig;False;
642;16;2;72;3;1;06.08.2014;09:15;Hecht Autobahn;Jackson Totenkopf;2,5;20;0;bewölkt;False;
643;16;2;67;2,4;1;06.08.2014;14:45;Hecht Autobahn;Storm Regenbogenforelle;6;20;0;bewölkt;False;
644;16;4;29;0,35;1;25.07.2014;20:15;Slipstelle;Hoischn System Blinker Gummifisch Spinner;8;21;0;sonnig;False;
645;17;30;23;0,1;1;08.08.2014;10:30;Donauschlinge;Gummiwurm weiss;4;20;0;sonnig;False;
646;17;4;22;0,15;1;27.08.2014;08:45;Frauscher;Wobbler rot weiss;0,3;15;0;bewölkt mit starkem Wind;False;
647;13;2;71;2,9;1;22.08.2014;09:00;Hecht Autobahn;Wobbler Jackson Jagger Laube;4;17;0;sonnig;False;
648;13;2;54;1,2;3;03.09.2014;16:00;Slipstelle;Wobbler Barsch 7m;6;25;0;sonnig mit starkem Wind;False;
649;17;2;67;2,65;3;05.09.2014;12:00;Freiwasser;Wobbler Salmo 12m;12;25;0;bewölkt mit starkem Wind;False;
650;13;2;66;2,2;4;27.06.2015;16:00;Alte Bahngleise bei Insel;Sandra braun rot;6;25;0;Regen;False;
651;13;3;50;1,2;4;28.06.2015;08:30;Suedlich bei Insel Taiwan bzw Flussbett Moldau;Sandra rot braun;8;25;0;sonnig;False;
652;13;3;58;1,9;4;28.06.2015;08:30;Suedlich Taiwan bzw Flussbett Moldau;Sandra rot braun;8;25;0;sonnig;False;
653;17;3;44;0,82;4;28.06.2015;08:15;Insel Taiwan suedlich ;Jackson Worm 12cm braun;7;22;0;sonnig;False;
654;12;7;37;0,5;4;12.07.2015;09:22;Vor kleiner Bucht am anfang ufernaehe;Schinkenwurst;1,5;25;0;sonnig;False;
655;15;7;33;0,4;4;12.07.2015;08:45;Vor kleiner Bucht am anfang ufernaehe;Kleiner twister weiß 5cm;3;25;0;sonnig;False;
656;15;7;40;0,65;4;12.07.2015;17:30;Vor kleiner Bucht am anfang ufernaehe;Schinkenwurst;2;33;0;sonnig;False;
657;13;2;37;0,42;1;30.08.2015;09:00;Steg bei Hammerschmied;Salmo Executer rot weiss;2;25;0;sonnig;False;
658;13;2;50;1;1;27.08.2015;11:00;Schotterbank Anfang Stein;Salmo Executer rot weiss;2;24;0;sonnig;False;
659;13;3;55;1,6;4;04.09.2015;08:00;Rote Boje;Sandra rot weiss;6;21;0;bewölkt;False;
660;13;3;30;0,26;4;04.09.2015;13:00;Rote Boje;Sandra rot weiss;6;20;0;sonnig;False;
661;17;3;43;0,76;4;04.09.2015;12:30;Rote Boje;FOX Zander Pro 10cm Motoroel;6;20;0;bewölkt;False;
662;17;3;45;1;4;05.09.2015;11:00;Rote Boje;Lunker City 9cm weiss;6,5;18;0;bewölkt;False;
663;31;3;56;1,7;4;05.09.2015;12:00;Rote Boje;Jackson Worm 10cm weiss;6;18;0;bewölkt;False;
664;31;3;43;0,76;4;03.09.2015;12:00;Rote Boje;Sandra rot weiss;6;18;0;bewölkt;False;
665;31;3;43;0,76;4;05.09.2015;11:00;Rote Boje;Jackson Worm 10cm weiss;6;17;0;bewölkt;False;
666;16;4;33;0,46;4;04.09.2015;18:00;Hotel Jestrabi;Spinner Blau Silber;1;18;0;bewölkt;False;
667;16;3;49;1,1;4;03.09.2015;12:00;Rote Boje;Sandra rot braun;6;18;0;bewölkt;False;
668;16;3;40;0,61;4;05.09.2015;11:00;Rote Boje;Jackson Worm 10cm weiss;6;17;0;bewölkt;False;
669;12;3;60;2;4;03.09.2015;13:15;Rote Boje;Sandra Rot Weiss 12 cm;7;20;0;bewölkt;False;
670;12;3;56;1,7;4;03.09.2015;13:00;Rote Boje;Sandra Rot Weiss 12 cm;7;20;0;bewölkt;False;
671;12;3;56;1,7;4;04.09.2015;11:30;Rote Boje;Sandra Rot Weiss 12 cm;7;20;0;bewölkt;False;
672;12;3;50;1,2;4;04.09.2015;14:00;Rote Boje;Sandra Rot Weiss 12 cm;7;20;0;bewölkt;False;
673;12;3;45;1;4;05.09.2015;10:00;Rote Boje;Sandra Rot Weiss 12 cm;5;20;0;bewölkt;False;
674;14;3;43;0,76;4;04.09.2015;16:00;Rote Boje;Lunker City Weiss 9 cm;7;20;0;bewölkt;False;
675;14;3;30;0,26;4;05.09.2015;10:00;Rote Boje;Lunker City 9 cm;7;20;0;bewölkt;False;
676;12;2;53;1;1;15.09.2015;11:00;Leitplanke 100m vor Dixi Klo;Blau Weiss illex 15 cm;0,5;18;0;sonnig;False;
677;12;2;43;0,5;1;16.09.2015;09:30;Leitplanke 100m vor Dixi Klo;Blau Weiss illex 15 cm;0,5;18;0;sonnig;False;
678;13;2;51;1,1;1;20.09.2015;07:30;Esplanade;Salmo Executer rot weiss;1;19;0;bewölkt;False;
679;15;2;81;3,5;1;04.10.2015;07:50;Hechtautobahn ca 50m nach Vereinsplatz richtung gruenes Haus;Wobbler Jackson Jagger Laube;4;12;0;bewölkt;False;
680;15;2;35;0,3215625;1;16.09.2015;10:00;Hoisenseite dixiklo;Wobbler Blau 11cm;5;23;0;sonnig;False;
681;13;2;71;2,6843325;3;17.10.2015;15:00;Parschalen Bucht;Savage Gear Forelle Albino Dekor;10;13;0;bewölkt;False;
682;13;2;82;3,8;3;17.10.2015;14:00;Parschalen Bucht;Savage Gear Forelle Albino Dekor;10;13;0;bewölkt;False;
683;13;2;70;2,5725;3;24.10.2015;14:00;Bucht Parschallen;Savage Gear Trout Albino;10;15;0;sonnig;False;
684;13;3;41;0,71;3;28.10.2015;10:00;Außenkurve bei rotem Sciff;Fox Zander Pro schwarz weiß;4;12;0;sonnig;True;
685;13;3;32;0,31;3;29.10.2015;10:00;Außenkurve;Fox Zander Pro;7;12;0;bewölkt;True;
686;13;2;40;0,51;3;31.10.2015;11:00;Außenkurve;Fox Zander Pro;7;12;0;bewölkt;True;
687;12;2;50;1,2;3;07.11.2015;11:45;Weg richtung Spitz (20m) Donau-Seite ;Kopyto Gelb 8cm;3;22;0;bewölkt;True;
688;13;2;101;6,9;3;21.05.2016;09:06;Parschalen Bucht;Savage Gear Forelle Albino Dekor;15;24;0;sonnig;False;
689;12;2;61;1,82;4;18.06.2016;08:00;Bei Insel;Sandra Rot Weiss 12 cm;5;17;1,82;sonnig;False;Zweiter Wurf
